vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
대상(주),청정원 순살바삭버터갈릭치킨 (300g),300g,"4,950원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36856&type=1,식품,대상 청정원 순살바삭버터갈릭치킨 300g,21800.0,20,Success,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=8171533011&tid=1000000061,4950,300.0,77.3
(주)네이처라우드,마더그레인 저당파로현미밥,130g,"1,500원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36858&type=1,식품,네이처라우드 마더그레인 저당파로현미밥 130g,,0,Capacity Parse Failed,,1500,130.0,
주식회사 메디쿼터스,바르닭 소스 품은 닭가슴살 양념치킨,100g,"1,980원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36860&type=1,식품,메디쿼터스 바르닭 소스 품은 닭가슴살 양념치킨 100g,83400.0,8,Success,https://smartstore.naver.com/main/products/12286219514,1980,100.0,97.6
(주)동원홈푸드 경기1공장,우삼겹,600g,"13,490원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36862&type=1,식품,동원홈푸드 경기1공장 우삼겹 600g,,0,Capacity Parse Failed,,13490,600.0,
주식회사 사조대림,국탕종합,340g,"2,090원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36864&type=1,식품,사조대림 국탕종합 340g,3167.5,20,Success,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=1887342642&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,2090,340.0,34.0
(주)씨제이푸드빌,빕스 오리지널 바비큐폭립,450g,"13,000원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36866&type=1,식품,씨제이푸드빌 빕스 오리지널 바비큐폭립 450g,17283.33333333334,20,Success,https://smartstore.naver.com/main/products/7654391174,13000,450.0,24.8
(주)농심,농심라면,124g*4개입,"3,160원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36868&type=1,식품,농심 농심라면 124g*4개입,,0,Max Retries,,3160,496.0,
안국건강주식회사,AG바이옴더퍼스트,215mg*60c,"21,500원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36870&type=1,건강기능식품,안국건강 AG바이옴더퍼스트 215mg*60c,,0,Cache Miss,,21500,,
(주)오뚜기,맛있는 후랑크 핫도그 오리지널,375g,"4,480원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36872&type=1,식품,오뚜기 맛있는 후랑크 핫도그 오리지널 375g,15262.5,20,Success,https://shopping.naver.com/outlink/itemdetail/10916375643,4480,375.0,70.6
(주)케이지에프앤비,할리스 호두 아몬드 곡물라떼,360g,"4,910원",https://www.welfare.mil.kr/shop/imgView.do?p_code=36874&type=1,음료,케이지에프앤비 할리스 호두 아몬드 곡물라떼 360g,15900.0,8,Success,https://search.shopping.naver.com/catalog/59386566849,4910,360.0,69.1
